Company Name,Industry,Symbol,Series,ISIN Code,SEBI Sector,NSE Sectoral Index,Market Cap Category (SEBI),F&O Eligible,Listing Date (NSE),Delisting Status
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010,Power,Nifty Energy,Large Cap,Yes,18-Jun-18,Active
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042,Services,Nifty Services Sector,Large Cap,Yes,27-Nov-07,Active
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029,Power,Nifty Energy,Large Cap,Yes,20-Aug-09,Active
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,21-Oct-04,Active
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Sep-17,Active
Aditya Birla Fashion and Retail Ltd.,Consumer Services,ABFRL,EQ,INE647O01011,Consumer Services,Nifty India Consumption,Mid Cap,Yes,01-Jan-15,Active
Aditya Birla Lifestyle Brands Ltd.,Consumer Services,ABLBL,EQ,INE14LE01019,Consumer Services,Nifty India Consumption,Mid Cap,No,01-Jan-25,Active
Aditya Birla Real Estate Ltd.,Realty,ABREL,EQ,INE055A01016,Real Estate,Nifty Realty,Small Cap,No,01-Jan-25,Active
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024,Financial Services,Nifty Financial Services,Mid Cap,No,11-Oct-21,Active
Aditya Infotech Ltd.,Capital Goods,CPPLUS,EQ,INE819V01029,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jul-14,Active
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Mid Cap,Yes,03-Dec-12,Active
Aegis Vopak Terminals Ltd.,Oil Gas & Consumable Fuels,AEGISVOPAK,EQ,INE0INX01018,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Small Cap,No,14-Aug-24,Active
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011,Construction,Nifty Infrastructure,Small Cap,No,25-Oct-24,Active
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027,Information Technology,Nifty IT,Mid Cap,No,08-Aug-19,Active
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049,Pharmaceuticals,Nifty Pharma,Mid Cap,No,01-Jan-95,Active
Alkem Laboratories Ltd.,Healthcare,ALKEM,EQ,INE540L01014,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,23-Dec-15,Active
Allied Blenders and Distillers Ltd.,Fast Moving Consumer Goods,ABDL,EQ,INE552Z01027,FMCG,Nifty FMCG,Small Cap,No,10-Apr-24,Active
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-95,Active
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015,Consumer Durables,Nifty Consumer Durables,Small Cap,No,30-Jan-18,Active
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024,Construction Materials,Nifty Infrastructure,Large Cap,Yes,29-Apr-96,Active
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026,Financial Services,Nifty Financial Services,Small Cap,No,08-Oct-21,Active
Anant Raj Ltd.,Realty,ANANTRAJ,EQ,INE242C01024,Real Estate,Nifty Realty,Mid Cap,No,01-Jan-95,Active
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021,Financial Services,Nifty Financial Services,Mid Cap,Yes,05-Oct-20,Active
Anthem Biosciences Ltd.,Healthcare,ANTHEM,EQ,INE0CZ201020,Pharmaceuticals,Nifty Pharma,Small Cap,No,14-Aug-24,Active
Anupam Rasayan India Ltd.,Chemicals,ANURAS,EQ,INE930P01018,Chemicals,Nifty Chemicals,Mid Cap,Yes,16-Mar-21,Active
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015,Capital Goods,Nifty India Manufacturing,Mid Cap,No,01-Jan-95,Active
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024,Healthcare Services,Nifty Healthcare Index,Large Cap,Yes,10-Jul-96,Active
Apollo Tyres Ltd.,Automobile and Auto Components,APOLLOTYRE,EQ,INE438A01022,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,01-Jan-95,Active
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025,Financial Services,Nifty Financial Services,Small Cap,No,24-Aug-21,Active
Asahi India Glass Ltd.,Automobile and Auto Components,ASAHIINDIA,EQ,INE439A01020,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-95,Active
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-94,Active
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026,Consumer Durables,Nifty Consumer Durables,Large Cap,Yes,14-Mar-95,Active
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019,Healthcare Services,Nifty Healthcare Index,Small Cap,No,02-Oct-17,Active
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046,Capital Goods,Nifty India Manufacturing,Small Cap,No,29-Mar-07,Active
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016,Automobiles & Auto Components,Nifty Auto,Small Cap,No,06-May-25,Active
Atul Ltd.,Chemicals,ATUL,EQ,INE100A01010,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-94,Active
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,01-Jan-95,Active
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022,Financial Services,Nifty Financial Services,Small Cap,No,14-Apr-95,Active
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011,Consumer Services,Nifty India Consumption,Large Cap,Yes,21-Mar-17,Active
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034,Banking,Nifty Bank,Large Cap,Yes,02-Jun-98,Active
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-94,Active
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027,Consumer Services,Nifty India Consumption,Mid Cap,No,16-Jan-17,Active
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025,Financial Services,Nifty Financial Services,Mid Cap,Yes,03-Feb-17,Active
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,26-May-08,Active
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032,Financial Services,Nifty Financial Services,Large Cap,Yes,01-Apr-10,Active
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026,Financial Services,Nifty Financial Services,Large Cap,Yes,26-May-08,Active
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012,Financial Services,Nifty Financial Services,Small Cap,Yes,01-Jan-95,Active
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014,Financial Services,Nifty Financial Services,Large Cap,Yes,16-Sep-24,Active
Balkrishna Industries Ltd.,Automobile and Auto Components,BALKRISIND,EQ,INE787D01026,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,12-Nov-02,Active
Balrampur Chini Mills Ltd.,Fast Moving Consumer Goods,BALRAMCHIN,EQ,INE119A01028,FMCG,Nifty FMCG,Small Cap,No,01-Jan-95,Active
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014,Banking,Nifty Bank,Mid Cap,Yes,27-Mar-18,Active
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039,Banking,Nifty Bank,Large Cap,Yes,19-Jul-97,Active
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016,Banking,Nifty Bank,Small Cap,No,30-Jan-06,Active
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014,Banking,Nifty Bank,Small Cap,No,12-Feb-04,Active
Bata India Ltd.,Consumer Durables,BATAINDIA,EQ,INE176A01028,Consumer Durables,Nifty Consumer Durables,Small Cap,Yes,01-Jan-94,Active
Bayer Cropscience Ltd.,Chemicals,BAYERCROP,EQ,INE462A01022,Chemicals,Nifty Chemicals,Mid Cap,No,01-Jan-95,Active
Belrise Industries Ltd.,Automobile and Auto Components,BELRISE,EQ,INE894V01022,Automobiles & Auto Components,Nifty Auto,Small Cap,No,21-May-25,Active
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038,Consumer Durables,Nifty Consumer Durables,Mid Cap,Yes,01-Jan-95,Active
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,22-Mar-17,Active
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Jan-94,Active
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-95,Active
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Jul-94,Active
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,01-Oct-94,Active
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024,Telecommunication,Nifty Services Sector,Large Cap,Yes,15-Feb-02,Active
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021,Telecommunication,Nifty Services Sector,Small Cap,No,25-Jun-24,Active
Bikaji Foods International Ltd.,Fast Moving Consumer Goods,BIKAJI,EQ,INE00E101023,FMCG,Nifty FMCG,Mid Cap,No,07-Nov-22,Active
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053,Financial Services,Nifty Financial Services,Small Cap,No,22-May-25,Active
Biocon Ltd.,Healthcare,BIOCON,EQ,INE376G01013,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,07-Apr-04,Active
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035,Information Technology,Nifty IT,Mid Cap,Yes,03-Jan-00,Active
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017,Services,Nifty Services Sector,Small Cap,No,01-Jan-96,Active
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,INE0KBH01020,Pharmaceuticals,Nifty Pharma,Small Cap,No,26-Oct-22,Active
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039,Consumer Durables,Nifty Consumer Durables,Small Cap,No,01-Jan-95,Active
Bombay Burmah Trading Corporation Ltd.,Fast Moving Consumer Goods,BBTC,EQ,INE050A01025,FMCG,Nifty FMCG,Small Cap,No,01-Jan-95,Active
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-95,Active
Brainbees Solutions Ltd.,Consumer Services,FIRSTCRY,EQ,INE02RE01045,Consumer Services,Nifty India Consumption,Small Cap,No,13-Aug-24,Active
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019,Real Estate,Nifty Realty,Mid Cap,No,30-Jan-08,Active
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030,FMCG,Nifty FMCG,Large Cap,Yes,01-Jan-94,Active
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023,Information Technology,Nifty IT,Mid Cap,Yes,21-Dec-21,Active
CCL Products (I) Ltd.,Fast Moving Consumer Goods,CCL,EQ,INE421D01022,FMCG,Nifty FMCG,Small Cap,No,19-Jun-01,Active
CESC Ltd.,Power,CESC,EQ,INE486A01021,Power,Nifty Energy,Mid Cap,No,01-Jan-95,Active
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029,Capital Goods,Nifty India Manufacturing,Large Cap,Yes,01-Jan-01,Active
CIE Automotive India Ltd.,Automobile and Auto Components,CIEINDIA,EQ,INE536H01010,Automobiles & Auto Components,Nifty Auto,Small Cap,No,01-Jan-04,Active
CRISIL Ltd.,Financial Services,CRISIL,EQ,INE007A01025,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-95,Active
Can Fin Homes Ltd.,Financial Services,CANFINHOME,EQ,INE477A01020,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Jan-95,Active
Canara Bank,Financial Services,CANBK,EQ,INE476A01022,Banking,Nifty Bank,Large Cap,Yes,23-Dec-02,Active
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE,EQ,INE01TY01017,Insurance,Nifty Financial Services,Small Cap,No,19-Mar-24,Active
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026,Pharmaceuticals,Nifty Pharma,Small Cap,No,27-Sep-05,Active
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042,Financial Services,Nifty Financial Services,Mid Cap,No,08-Mar-22,Active
Carborundum Universal Ltd.,Capital Goods,CARBORUNIV,EQ,INE120A01034,Capital Goods,Nifty India Manufacturing,Mid Cap,No,01-Jan-95,Active
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011,Consumer Services,Nifty India Consumption,Small Cap,No,20-Aug-21,Active
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Small Cap,No,01-Jan-95,Active
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,01-Jan-94,Active
Cemindia Projects Ltd.,Construction,CEMPRO,EQ,INE686A01026,Construction,Nifty Infrastructure,Small Cap,No,21-Nov-24,Active
Central Bank of India,Financial Services,CENTRALBK,EQ,INE483A01010,Banking,Nifty Bank,Small Cap,No,26-Aug-09,Active
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011,Financial Services,Nifty Financial Services,Mid Cap,Yes,30-Jun-17,Active
Chalet Hotels Ltd.,Consumer Services,CHALET,EQ,INE427F01016,Consumer Services,Nifty India Consumption,Small Cap,No,07-Feb-19,Active
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-95,Active
Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,CHENNPETRO,EQ,INE178A01016,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Small Cap,No,01-Jan-95,Active
Choice International Ltd.,Financial Services,CHOICEIN,EQ,INE102B01014,Financial Services,Nifty Financial Services,Small Cap,No,08-Jun-21,Active
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033,Financial Services,Nifty Financial Services,Small Cap,No,01-Jan-97,Active
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024,Financial Services,Nifty Financial Services,Large Cap,Yes,01-Jan-96,Active
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,01-Jan-94,Active
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021,Banking,Nifty Bank,Mid Cap,Yes,01-Jan-98,Active
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023,Chemicals,Nifty Chemicals,Mid Cap,No,07-Jul-21,Active
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,04-Nov-10,Active
Cochin Shipyard Ltd.,Capital Goods,COCHINSHIP,EQ,INE704P01025,Capital Goods,Nifty India Manufacturing,Small Cap,Yes,08-Apr-21,Active
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025,Information Technology,Nifty IT,Mid Cap,Yes,19-Aug-04,Active
Cohance Lifesciences Ltd.,Healthcare,COHANCE,EQ,INE03QK01018,Pharmaceuticals,Nifty Pharma,Small Cap,No,30-Jan-25,Active
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022,FMCG,Nifty FMCG,Mid Cap,Yes,01-Jan-94,Active
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020,Financial Services,Nifty Financial Services,Mid Cap,Yes,01-Oct-20,Active
Concord Biotech Ltd.,Healthcare,CONCORDBIO,EQ,INE338H01029,Pharmaceuticals,Nifty Pharma,Mid Cap,No,05-Aug-23,Active
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025,Services,Nifty Services Sector,Mid Cap,Yes,17-Nov-98,Active
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-95,Active
Craftsman Automation Ltd.,Automobile and Auto Components,CRAFTSMAN,EQ,INE00LO01017,Automobiles & Auto Components,Nifty Auto,Small Cap,No,25-Mar-21,Active
CreditAccess Grameen Ltd.,Financial Services,CREDITACC,EQ,INE741K01010,Financial Services,Nifty Financial Services,Small Cap,No,23-Aug-18,Active
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018,Consumer Durables,Nifty Consumer Durables,Mid Cap,Yes,13-May-16,Active
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-94,Active
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020,Information Technology,Nifty IT,Mid Cap,Yes,01-Jun-98,Active
DCM Shriram Ltd.,Diversified,DCMSHRIRAM,EQ,INE499A01024,Diversified,Nifty 500,Small Cap,No,01-Jan-95,Active
DLF Ltd.,Realty,DLF,EQ,INE271C01023,Real Estate,Nifty Realty,Large Cap,Yes,05-Jul-07,Active
DOMS Industries Ltd.,Fast Moving Consumer Goods,DOMS,EQ,INE321T01012,FMCG,Nifty FMCG,Small Cap,No,20-Dec-23,Active
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026,FMCG,Nifty FMCG,Large Cap,Yes,13-Mar-00,Active
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025,Construction Materials,Nifty Infrastructure,Mid Cap,Yes,01-Dec-95,Active
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010,Capital Goods,Nifty India Manufacturing,Mid Cap,No,24-Dec-21,Active
Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,DEEPAKFERT,EQ,INE501A01019,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-94,Active
Deepak Nitrite Ltd.,Chemicals,DEEPAKNTR,EQ,INE288B01029,Chemicals,Nifty Chemicals,Mid Cap,Yes,01-Jan-95,Active
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028,Services,Nifty Services Sector,Mid Cap,Yes,24-May-22,Active
Devyani International Ltd.,Consumer Services,DEVYANI,EQ,INE872J01023,Consumer Services,Nifty India Consumption,Mid Cap,Yes,16-Aug-21,Active
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024,Pharmaceuticals,Nifty Pharma,Mid Cap,Yes,01-Oct-94,Active
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020,Consumer Durables,Nifty Consumer Durables,Mid Cap,Yes,18-Sep-17,Active
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024,Healthcare Services,Nifty Healthcare Index,Mid Cap,Yes,23-Dec-15,Active
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031,Pharmaceuticals,Nifty Pharma,Large Cap,Yes,01-Jan-93,Active
Dummy Vedanta Ltd. 1,Metals & Mining,DUMMYVEDL1,EQ,DU1205A01025,Metals & Mining,Nifty Metal,N/A (Pending Listing),No,Pending – Vedanta Demerger,Not Yet Listed
Dummy Vedanta Ltd. 2,Power,DUMMYVEDL2,EQ,DU2205A01025,Power,Nifty Energy,N/A (Pending Listing),No,Pending – Vedanta Demerger,Not Yet Listed
Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,DUMMYVEDL3,EQ,DU3205A01025,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,N/A (Pending Listing),No,Pending – Vedanta Demerger,Not Yet Listed
Dummy Vedanta Ltd. 4,Metals & Mining,DUMMYVEDL4,EQ,DU4205A01025,Metals & Mining,Nifty Metal,N/A (Pending Listing),No,Pending – Vedanta Demerger,Not Yet Listed
E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,EIDPARRY,EQ,INE126A01031,FMCG,Nifty FMCG,Small Cap,No,01-Jan-94,Active
EIH Ltd.,Consumer Services,EIHOTEL,EQ,INE230A01023,Consumer Services,Nifty India Consumption,Small Cap,No,01-Jan-95,Active
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021,Automobiles & Auto Components,Nifty Auto,Large Cap,Yes,01-Jan-94,Active
Elecon Engineering Co. Ltd.,Capital Goods,ELECON,EQ,INE205B01031,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032,FMCG,Nifty FMCG,Small Cap,No,07-Apr-95,Active
Emcure Pharmaceuticals Ltd.,Healthcare,EMCURE,EQ,INE168P01015,Pharmaceuticals,Nifty Pharma,Mid Cap,No,10-Jul-24,Active
Emmvee Photovoltaic Power Ltd.,Capital Goods,EMMVEE,EQ,INE1C6T01020,Capital Goods,Nifty India Manufacturing,Small Cap,No,16-Apr-25,Active
Endurance Technologies Ltd.,Automobile and Auto Components,ENDURANCE,EQ,INE913H01037,Automobiles & Auto Components,Nifty Auto,Mid Cap,No,18-Oct-16,Active
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,Construction,Nifty Infrastructure,Small Cap,No,01-Jan-95,Active
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,Pharmaceuticals,Nifty Pharma,Mid Cap,No,29-Jun-17,Active
Escorts Kubota Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,Capital Goods,Nifty India Manufacturing,Mid Cap,Yes,01-Jan-94,Active
Eternal Ltd.,Consumer Services,ETERNAL,EQ,INE758T01015,Consumer Services,Nifty India Consumption,Large Cap,Yes,23-Jul-21,Active
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,Automobiles & Auto Components,Nifty Auto,Mid Cap,Yes,01-Jan-94,Active
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,Consumer Services,Nifty India Consumption,Mid Cap,Yes,10-Nov-21,Active
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,Banking,Nifty Bank,Mid Cap,Yes,01-Jan-95,Active
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,Chemicals,Nifty Chemicals,Small Cap,No,01-Jan-95,Active
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,Capital Goods,Nifty India Manufacturing,Small Cap,No,01-Jan-95,Active
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012,Services,Nifty Services Sector,Mid Cap,Yes,25-Feb-08,Active
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021,Financial Services,Nifty Financial Services,Mid Cap,No,12-Nov-21,Active
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017,Automobiles & Auto Components,Nifty Auto,Mid Cap,No,01-Jan-95,Active
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,Healthcare Services,Nifty Healthcare Index,Mid Cap,Yes,09-May-07,Active
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,"Oil, Gas & Consumable Fuels",Nifty Oil & Gas,Large Cap,Yes,02-Apr-97,Active
